D L2 R2 U2 F
D' L2 F R2 B
D R2 L2 U2 F
D R2 B' L2 U2
B' U F2 B' U
B' U B' F2 U
U2 D' L2 R2 F
U2 D' L2 F R2
U2 D' R2 L2 F
D' U2 L2 R2 F
D' U2 L2 F R2
D' U2 R2 L2 F
D B' L2 R2 U2
D B' R2 L2 U2
D' B' U2 L2 R2
D' B' U2 R2 L2
D B' L2 F2 R2 F2 U2
D B' L2 B R2 B' U2
D' B' R' U2 L2 R' D
D' B' R' U2 L2 R' D'
D' B' R' U2 L2 R' D2
D' B' R' U2 L2 D R'
D' B' R' U2 L2 D' R'
D' B' R' U2 L2 D2 R'
D' B' R' U2 R' L2 D
D' B' R' U2 R' L2 D'
D' B' R' U2 R' L2 D2
F2 B D' B L2 R2 U
D B' L2 B' R2 U2 F'
F2 B D' B R2 L2 U
D B' L2 B2 R2 B2 U2
R2 B' R U F2 B' U
R2 B' R U B' F2 U
D' B' R' D2 R2 U2 R
D B' R L2 D R U2
D B' R L2 D' R U2
D B' R L2 D2 R U2
D B' R D2 R U2 R
R' B' R2 U F2 B' U
R' B' R2 U B' F2 U
D2 B' R2 U' F2 B' U'
D2 B' R2 U' B' F2 U'
D' B' R2 U2 L2 D2 R2
F2 B D2 B U F2 B
F2 B D2 B U B F2
R2 B' R' U F2 B' U
R2 B' R' U B' F2 U
D' B' R2 D2 R2 U2 R2
D B' R' L2 D R' U2
D B' R' L2 D' R' U2
D B' R' L2 D2 R' U2
R B' R U F2 B' U
R B' R U B' F2 U
D B' R' D2 R' U2 R'
R' B' U D' B' U L2
D' B' U D F2 B2 U
D B' R2 L D L U2
D' B' U D B2 F2 U
D B' R2 L D' L U2
D B' R2 L D2 L U2
R2 B' R2 U F2 B' U
R2 B' R2 U B' F2 U
D B' R2 L' D L' U2
D B' R2 L' D' L' U2
D B' R2 L' D2 L' U2
R' B' U F2 D B' U
R' B' U F2 D' B' U
D' B' U F U L2 R2
D' B' U F U R2 L2
R' B' U F2 D2 B' U
R' B' U F2 B' U D
R' B' U F2 B' U D'
R' B' U F2 B' U D2
R' B' U F2 B' D U
R' B' U F2 B' D' U
R' B' U F2 B' D2 U
D B' R2 U D' B2 U
D' B' U F' U L2 R2
D' B' U F' U R2 L2
D B' R2 U' D F2 U'
R' B' U B' U D' L2
R' B' U B' D' U L2
D' B' U F2 U L2 R2
D' B' U F2 U R2 L2
R' B' U B' F2 U D
R' B' U B' F2 U D'
R' B' U B' F2 U D2
R' B' U B' F2 D U
R' B' U B' F2 D' U
R' B' U B' F2 D2 U
D B' R2 U2 R D2 R2
D B' R2 U2 R' D2 R2
D B' R2 U2 R2 D2 R2
D B' R2 U2 D2 R2 D
D B' R2 U2 D2 R2 D'
D B' R2 U2 D2 R2 D2
D' B' U B U L2 R2
D' B' U B U R2 L2
R B' R' U F2 B' U
D B' R2 D U' F2 U'
R B' R' U B' F2 U
D' B' U B' U L2 R2
D' B' U B' U R2 L2
D B' R2 D' U B2 U
D' B' U B2 U L2 R2
D' B' U B2 U R2 L2
D B' R2 D2 L U2 R2
D B' R2 D2 L' U2 R2
D B' R2 D2 L2 U2 R2
D B' R2 D2 U2 R2 D
D B' R2 D2 U2 R2 D'
D B' R2 D2 U2 R2 D2
D B' R2 F L2 F' U2
D B' R2 F' L2 U2 B'
D B' R2 F2 L2 F2 U2
D B' R2 B L2 U2 F
D2 B' U' D B' U' R2
D B' R2 B' L2 B U2
D B' R2 B2 L2 B2 U2
D' B' U' D' F2 B2 U'
D' B' U' D' B2 F2 U'
L2 B' U F2 B' U F'
U2 B' U F2 B' U B2
D' B' U' F U' L2 R2
D' B' U' F U' R2 L2
D2 B' U' F2 D B' U'
D2 B' U' F2 D' B' U'
D2 B' U' F2 D2 B' U'
D2 B' U' F2 B' U' D
D2 B' U' F2 B' U' D'
D2 B' U' F2 B' U' D2
D2 B' U' F2 B' D U'
D2 B' U' F2 B' D' U'
D2 B' U' F2 B' D2 U'
D' B' U' F' U' L2 R2
D' B' U' F' U' R2 L2
L2 B' U B' F2 U F'
U2 B' U B' F2 U B2
D' B' U' F2 U' L2 R2
D' B' U' F2 U' R2 L2
D2 B' U' B' U' D R2
D2 B' U' B' D U' R2
D2 B' U' B' F2 U' D
D2 B' U' B' F2 U' D'
D2 B' U' B' F2 U' D2
D2 B' U' B' F2 D U'
D2 B' U' B' F2 D' U'
D2 B' U' B' F2 D2 U'
D' B' U' B U' L2 R2
R2 B' U D' B' U L2
D' B' U' B U' R2 L2
R B' R2 U F2 B' U
R B' R2 U B' F2 U
D' B' U' B' U' L2 R2
D' B' U' B' U' R2 L2
D' B' U' B2 U' L2 R2
D' B' U' B2 U' R2 L2
D B' U D' F2 B2 U
D B' U D' B2 F2 U
D' B' U2 L R2 D L
D' B' U2 L R2 D' L
D' B' U2 L R2 D2 L
D' B' U2 L' R2 D L'
D' B' U2 L' R2 D' L'
D' B' U2 L' R2 D2 L'
R2 B' U F2 D B' U
R2 B' U F2 D' B' U
R2 B' U F2 D2 B' U
R2 B' U F2 B' U D
R2 B' U F2 B' U D'
R2 B' U F2 B' U D2
R2 B' U F2 B' D U
R2 B' U F2 B' D' U
R2 B' U F2 B' D2 U
D' B' U2 L2 R D R
D' B' U2 L2 R D' R
D' B' U2 L2 R D2 R
D' B' U2 L2 R' D R'
D' B' U2 L2 R' D' R'
D' B' U2 L2 R' D2 R'
D' B' U2 L2 F' R2 F
D' B' U2 L2 F2 R2 F2
D' B' U2 L2 B R2 B'
R2 B' U B' U D' L2
D' B' U2 L2 B2 R2 B2
D' B' U2 R L2 D R
D' B' U2 R L2 D' R
D' B' U2 R L2 D2 R
R2 B' U B' D' U L2
R2 B' U B' F2 U D
R2 B' U B' F2 U D'
R2 B' U B' F2 U D2
R2 B' U B' F2 D U
R2 B' U B' F2 D' U
R2 B' U B' F2 D2 U
D' B' U2 R' L2 D R'
D' B' U2 R' L2 D' R'
D' B' U2 R' L2 D2 R'
D' B' U2 R2 L D L
D' B' U2 R2 L D' L
D' B' U2 R2 L D2 L
D' B' U2 R2 L' D L'
D' B' U2 R2 L' D' L'
D' B' U2 R2 L' D2 L'
U' B' U2 F2 B' U F2
D' B' U2 R2 F L2 F'
D' B' U2 R2 F2 L2 F2
D' B' U2 R2 B' L2 B
D' B' U2 R2 B2 L2 B2
U' B' U2 B' F2 U F2
D' B' U2 F L2 F' R2
D' B' U2 F' R2 F L2
D' B' U2 F2 L2 R2 F2
D' B' U2 F2 L2 F2 R2
D' B' U2 F2 R2 L2 F2
D' B' U2 F2 R2 F2 L2
D' B' U2 B R2 B' L2
D' B' U2 B' L2 B R2
L B' U F2 B' R' U
D B' U' D F2 B2 U'
D' B' U2 B2 L2 R2 B2
D' B' U2 B2 L2 B2 R2
D B' U' D B2 F2 U'
U B' U F2 B' U B
D' B' U2 B2 R2 L2 B2
D' B' U2 B2 R2 B2 L2
L B' U B' R' F2 U
L B' U B' F2 R' U
U B' U B' F2 U B
R B' U D' B' U L2
R' B' D R2 U B' U
D2 B' D U' B' U' R2
R B' U F2 D B' U
R B' U F2 D' B' U
R B' U F2 D2 B' U
R B' U F2 B' U D
R B' U F2 B' U D'
R B' U F2 B' U D2
R B' U F2 B' D U
R B' U F2 B' D' U
R B' U F2 B' D2 U
D' B' D U F2 B2 U
D' B' D U B2 F2 U
R B' U B' U D' L2
R B' U B' D' U L2
R B' U B' F2 U D
R B' U B' F2 U D'
R B' U B' F2 U D2
R B' U B' F2 D U
R B' U B' F2 D' U
R B' U B' F2 D2 U
U2 B' U2 B D' L2 R2
U2 B' U2 B D' R2 L2
D2 B' D' L2 U F U
D B' U2 D2 L2 R2 D
D B' U2 D2 L2 R2 D'
D B' U2 D2 L2 R2 D2
D B' U2 D2 R2 L2 D
D B' U2 D2 R2 L2 D'
D B' U2 D2 R2 L2 D2
R' B' D' U B' U L2
D' B' D' U' F2 B2 U'
D' B' D' U' B2 F2 U'
R2 B' D R2 U B' U
D B' D U' F2 B2 U'
D B' D U' B2 F2 U'
D' B' D2 L2 R2 U2 D
D' B' D2 L2 R2 U2 D'
D' B' D2 L2 R2 U2 D2
D' B' D2 L2 R2 D U2
D' B' D2 L2 R2 D' U2
D' B' D2 L2 R2 D2 U2
D' B' D2 L2 U2 D2 L2
D' B' D2 L2 D2 U2 L2
D' B' D2 R2 L2 U2 D
D' B' D2 R2 L2 U2 D'
D' B' D2 R2 L2 U2 D2
D' B' D2 R2 L2 D U2
D' B' D2 R2 L2 D' U2
D' B' D2 R2 L2 D2 U2
D' B' D2 R2 U2 D2 R2
D' B' D2 R2 D2 U2 R2
R2 B' D' U B' U L2
D B' D' U F2 B2 U
D B' D' U B2 F2 U
R B' D R2 U B' U
D' B' F R2 B L2 F
D B' D2 L U2 L R2
D B' D2 L U2 R2 L
D' B' F U2 L2 R2 B
D B' D2 L' U2 L' R2
D B' D2 L' U2 R2 L'
D' B' F U2 R2 L2 B
D' B' F U2 R2 B L2
D B' D2 R U2 L2 R
D B' D2 R U2 R L2
D B' D2 R' U2 L2 R'
D B' D2 R' U2 R' L2
D B' D2 U2 L2 R2 D
D B' D2 U2 L2 R2 D'
D B' D2 U2 L2 R2 D2
D B' D2 U2 R2 L2 D
D B' D2 U2 R2 L2 D'
D B' D2 U2 R2 L2 D2
D' B' F' L2 B' R2 F'
R B' D' U B' U L2
D' B' F' U2 L2 R2 B'
D' B' F' U2 L2 B' R2
D' B' F' U2 R2 L2 B'
D B' F L2 R2 U2 B
D B' F L2 F' R2 U2
D B' F R2 L2 U2 B
D B' F' L2 R2 U2 B'
D B' F' R2 L2 U2 B'
D B' F' R2 F L2 U2
D' B2 L U2 L R2 F'
D' B2 L U2 R2 L F'
D' B2 L U2 R2 F' L
D B' F2 L2 R2 F2 U2
D B' F2 L2 F2 R2 U2
D B' F2 R2 L2 F2 U2
D B' F2 R2 F2 L2 U2
D' B2 L' U2 L' R2 F'
D' B2 L' U2 R2 L' F'
D' B2 L' B U2 L' R2
D' B2 L' B U2 R2 L'
D' B2 L2 F R2 F' B
D' B2 L2 F R2 B F'
B2 F2 L U' F2 B U2
B2 F2 L U' B F2 U2
D B2 L' B L' R2 U2
D B2 L' B R2 L' U2
D' B2 R U2 L2 R F'
D' B2 R U2 R L2 F'
D' B2 R U2 R F' L2
F2 B2 L U' F2 B U2
F2 B2 L U' B F2 U2
D B2 L2 R2 U2 D F'
D B2 L2 R2 U2 D' F'
D B2 L2 R2 U2 D2 F'
D B2 L2 R2 U2 F' D
D B2 L2 R2 U2 F' D'
D B2 L2 R2 U2 F' D2
D B2 L2 R2 D U2 F'
D B2 L2 R2 D' U2 F'
D B2 L2 R2 D2 U2 F'
D B2 L2 R2 B U2 F'
D B2 L2 R2 B' U2 F'
D B2 L2 R2 B2 U2 F'
D B2 L2 D2 B U2 L2
B2 F2 L' U' F2 B U2
B2 F2 L' U' B F2 U2
D B2 L2 B R2 U2 D
D B2 L2 B R2 U2 D'
D B2 L2 B R2 U2 D2
D B2 L2 B R2 D U2
D B2 L2 B R2 D' U2
D B2 L2 B R2 D2 U2
D B2 L2 B U2 D2 L2
F2 B2 L' U' F2 B U2
D B2 L2 B D2 U2 L2
F2 B2 L' U' B F2 U2
D B2 L2 B' R2 B2 U2
D B2 L2 B2 R2 B' U2
B2 F2 L2 U' F2 B U2
B2 F2 L2 U' B F2 U2
F2 B2 L2 U' F2 B U2
F2 B2 L2 U' B F2 U2
D' B2 R2 F' L2 D B'
D' B2 R2 F' L2 D' B'
D' B2 R2 F' L2 D2 B'
D' B2 R2 F' L2 B' D
D' B2 R2 F' L2 B' D'
D' B2 R2 F' L2 B' D2
D' B2 R2 F' B L2 B'
D' B2 R2 F' B' L2 B'
D' B2 R2 F' B2 L2 B'
D' B2 R2 B F' L2 B'
D' B2 R2 B' F' L2 B'
U B2 R F2 R U F'
D' B2 R2 B2 F' L2 B'
U2 B2 R2 F2 U F B2
U2 B2 R2 F2 U B2 F
D B2 R2 L2 U2 D F'
D B2 R2 L2 U2 D' F'
D B2 R2 L2 U2 D2 F'
D B2 R2 L2 U2 F' D
D B2 R2 L2 U2 F' D'
D B2 R2 L2 U2 F' D2
D B2 R2 L2 D U2 F'
D B2 R2 L2 D' U2 F'
D B2 R2 L2 D2 U2 F'
D B2 R2 L2 B U2 F'
D B2 R2 L2 B' U2 F'
D B2 R2 L2 B2 U2 F'
D B2 R2 U2 D2 F' R2
D B2 R2 U2 F' D2 R2
U B2 R' F2 R' U F'
D B2 R2 D2 U2 F' R2
D B2 R2 B L2 U2 F'
D B2 R2 B' L2 U2 F'
U B2 R2 U D' L2 F'
U B2 R2 U D' F' L2
D B2 R2 B2 L2 U2 F'
U B2 R2 D' U L2 F'
U B2 R2 D' U F' L2
U2 B2 U B2 D' L2 F
U B2 R2 F2 R U F
U B2 R2 F2 R' U F
U B2 R2 F2 R2 U F
U B2 R2 F2 U D F
U B2 R2 F2 U D' F
U B2 R2 F2 U D2 F
U B2 R2 F2 U F D
U B2 R2 F2 U F D'
U B2 R2 F2 U F D2
D' B2 U2 L R2 F' L
U B2 R2 F2 D U F
U B2 R2 F2 D' U F
U B2 R2 F2 D2 U F
B2 F2 R2 U D2 F' B2
B2 F2 R2 U D2 B2 F'
D' B2 U2 L2 R2 D F'
D' B2 U2 L2 R2 D' F'
D' B2 U2 L2 R2 D2 F'
D' B2 U2 L2 R2 F' D
D' B2 U2 L2 R2 F' D'
D' B2 U2 L2 R2 F' D2
D' B2 U2 L2 F R2 F'
D' B2 U2 L2 F' R2 F'
B2 F2 R2 U' F2 U2 F
D' B2 U2 L2 F2 R2 F'
F2 B2 R2 U D2 F' B2
F2 B2 R2 U D2 B2 F'
F2 B2 R2 U' F2 U2 F
D' B2 U2 R2 L F' L
B2 F2 R2 D' L2 U F'
D' B2 U2 R2 L2 D F'
D' B2 U2 R2 L2 D' F'
D' B2 U2 R2 L2 D2 F'
D' B2 U2 R2 L2 F' D
D' B2 U2 R2 L2 F' D'
D' B2 U2 R2 L2 F' D2
D' B2 U2 R2 F L2 F2
D' B2 U2 R2 F' L2 D
D' B2 U2 R2 F' L2 D'
D' B2 U2 R2 F' L2 D2
B2 F2 R2 D2 U F' B2
B2 F2 R2 D2 U B2 F'
F2 B2 R2 D' L2 U F'
F2 B2 R2 D2 U F' B2
F2 B2 R2 D2 U B2 F'
D' B2 U2 F L2 R2 F'
D' B2 U2 F R2 L2 F'
D' B2 U2 F R2 F' L2
D' B2 U2 F' L2 R2 F'
D' B2 U2 F' R2 L2 F'
D' B2 U2 F' R2 F' L2
D' B2 U2 F2 L2 R2 F'
D' B2 U2 F2 R2 L2 F'
D' B2 U2 F2 R2 F' L2
B2 F2 U R2 F' R2 B
F2 B2 U R2 F' R2 B
U B2 U' D R2 U2 F'
U B2 U' D B R2 U2
U B2 U' D' B U2 L2
B2 F2 U B' D2 F2 B2
B2 F2 U B' D2 B2 F2
F2 B2 U B' D2 F2 B2
F2 B2 U B' D2 B2 F2
D B2 U2 D2 L2 R2 F'
U B2 U' B U F2 U
D B2 U2 D2 R2 L2 F'
U B2 U' B U2 D' L2
D B2 U2 D2 R2 F' L2
U B2 U' B D R2 U2
U B2 U' B D' U2 L2
F B2 R2 F U F2 B
F B2 R2 F U B F2
B2 F2 U' D2 B U2 B
F2 B2 U' D2 B U2 B
B2 F2 U' F2 D B U2
B2 F2 U' F2 D' B U2
B2 F2 U' F2 D2 B U2
B2 F2 U' F2 B U2 D
B2 F2 U' F2 B U2 D'
B2 F2 U' F2 B U2 D2
B2 F2 U' F2 B D U2
B2 F2 U' F2 B D' U2
B2 F2 U' F2 B D2 U2
B2 F2 U' B U2 D2 B2
B2 F2 U' B D2 U2 B2
B2 F2 U' B F2 U2 D
B2 F2 U' B F2 U2 D'
B2 F2 U' B F2 U2 D2
B2 F2 U' B F2 D U2
B2 F2 U' B F2 D' U2
B2 F2 U' B F2 D2 U2
F2 B2 U' F2 D B U2
F2 B2 U' F2 D' B U2
F2 B2 U' F2 D2 B U2
F2 B2 U' F2 B U2 D
F2 B2 U' F2 B U2 D'
F2 B2 U' F2 B U2 D2
F2 B2 U' F2 B D U2
F2 B2 U' F2 B D' U2
F2 B2 U' F2 B D2 U2
F2 B2 U' B U2 D2 B2
F2 B2 U' B D2 U2 B2
F2 B2 U' B F2 U2 D
F2 B2 U' B F2 U2 D'
F2 B2 U' B F2 U2 D2
F2 B2 U' B F2 D U2
F2 B2 U' B F2 D' U2
F2 B2 U' B F2 D2 U2
D' B2 D2 L2 R2 U2 F'
D' B2 D2 L2 B R2 U2
B2 F2 U2 D R2 U' F'
D' B2 D2 R2 L2 U2 F'
F2 B2 U2 D R2 U' F'
U B2 D U' R2 U2 F'
D' B2 D2 B L2 R2 U2
U B2 D U' B R2 U2
D' B2 D2 B R2 L2 U2
D' B2 F L2 R2 F' B
D' B2 F L2 R2 B F'
D' B2 F R2 L2 F' B
D' B2 F R2 L2 B F'
D' B2 F R2 F' L2 B
D' B2 F R2 F' B L2
D' B2 F R2 B L2 F'
D' B2 F R2 B F' L2
B2 F2 D U2 R2 U' F'
F2 B2 D U2 R2 U' F'
U B2 D' R2 U L2 F'
U B2 D' R2 U F' L2
U B2 D' U' B U2 L2
D B2 D2 R2 F' L2 B'
D' B2 F' L2 R2 F' B'
D' B2 F' L2 R2 B' F'
B2 F2 D' L2 R2 U F'
B2 F2 D' L2 U' B U2
D B2 D2 U2 L2 R2 F'
D B2 D2 U2 R2 L2 F'
D B2 D2 U2 R2 F' L2
D' B2 F' R2 L2 F' B'
D' B2 F' R2 L2 B' F'
F2 B2 D' L2 R2 U F'
F2 B2 D' L2 U' B U2
B2 F2 D' R2 L2 U F'
D B2 D2 B U2 L2 R2
D B2 D2 B U2 R2 L2
F2 B2 D' R2 L2 U F'
U' B2 F2 U' B U2 B'
D2 B2 F2 U F2 B U2
D2 B2 F2 U B F2 U2
R' B2 F2 U' F2 B U2
R' B2 F2 U' B F2 U2
D2 B2 F2 D R2 U' F'
B F2 D' L2 B R2 U
B2 F2 D2 R2 U F' B2
B2 F2 D2 R2 U B2 F'
B2 F2 D2 U' B U2 B
F2 B2 D2 R2 U F' B2
F2 B2 D2 R2 U B2 F'
F2 B2 D2 U' B U2 B
U B2 F R2 F U F2
B F2 D' B L2 R2 U
B F2 D' B R2 L2 U
U2 B2 F2 R2 U F' B2
U2 B2 F2 R2 U B2 F'
L2 B2 F2 U D2 F' B2
L2 B2 F2 U D2 B2 F'
L2 B2 F2 U' F2 U2 F
U2 B2 F2 U' B U2 B
L2 B2 F2 D' L2 U F'
L2 B2 F2 D2 U F' B2
L2 B2 F2 D2 U B2 F'
R2 B2 F2 U' F2 B U2
R2 B2 F2 U' B F2 U2
B F2 D2 B U F2 B
B F2 D2 B U B F2
U B2 F2 R2 U D F'
U B2 F2 R2 U D' F'
U B2 F2 R2 U D2 F'
U B2 F2 R2 U F' D
U B2 F2 R2 U F' D'
U B2 F2 R2 U F' D2
U B2 F2 R2 D U F'
U B2 F2 R2 D' U F'
U B2 F2 R2 D2 U F'
U B2 F2 U R2 F' R2
U B2 F2 U' D B U2
U B2 F2 U' D' B U2
U B2 F2 U' D2 B U2
U B2 F2 U' B U2 D
U B2 F2 U' B U2 D'
U B2 F2 U' B U2 D2
U B2 F2 U' B D U2
U B2 F2 U' B D' U2
U B2 F2 U' B D2 U2
U B2 F2 D R2 U F'
U B2 F2 D U' B U2
U B2 F2 D' R2 U F'
U B2 F2 D' U' B U2
U B2 F2 D2 R2 U F'
U B2 F2 D2 U' B U2
R B2 F2 U' F2 B U2
R B2 F2 U' B F2 U2
