D2 B2 L R'
D2 B2 R' L
U2 L R' F2 U2
F2 L R' U2 F2
B2 L R' D2 B2
R' L F2 U2 F2
B2 L D2 R' B2
U2 L F2 R' U2
L R' F2 U2 F2
B2 R' L D2 B2
U2 R' L F2 U2
F2 R' L U2 F2
B2 R' D2 L B2
U2 R' F2 L U2
L' D2 B2 L R2
L' D2 B2 R2 L
R D2 B2 L2 R'
R D2 B2 R' L2
R' F2 L U2 F2
U2 F2 L R' U2
L F2 R' U2 F2
U2 F2 R' L U2
B2 D2 L R' B2
B2 D2 R' L B2
D2 B2 L R' D
D2 B2 L R' D'
D2 B2 L R' D2
D2 B2 L D R'
D2 B2 L D' R'
D2 B2 L D2 R'
D2 B2 R' L D
D2 B2 R' L D'
D2 B2 R' L D2
D2 B2 R' D L
D2 B2 R' D' L
D2 B2 R' D2 L
D2 B2 D L R'
D2 B2 D R' L
D2 B2 D' L R'
D2 B2 D' R' L
D2 B2 D2 L R'
D2 B2 D2 R' L
L2 D2 L2 B2 R' L D'
L2 D2 L2 B2 R' L D2
L2 D2 L2 B2 R' D L
L2 D2 L2 B2 R' D' L
L2 D2 L2 B2 R' D2 L
L D2 L' B2 R' L D
L D2 L' B2 R' L D'
L D2 L' B2 R' L D2
L D2 L' B2 R' D L
L D2 L' B2 R' D' L
L D2 L' B2 R' D2 L
L2 D2 L2 B2 D L R'
L D2 L' B2 D L R'
L2 D2 L2 B2 D R' L
L D2 L' B2 D R' L
L2 D2 L2 B2 D' L R'
L D2 L' B2 D' L R'
L2 D2 L2 B2 D' R' L
L D2 L' B2 D' R' L
L D2 L' B2 D2 L R'
L2 D2 L2 B2 D2 L R'
L D2 L' B2 D2 R' L
L2 D2 L2 B2 D2 R' L
U2 D2 L D2 R' F2 U2
D U2 L R' U' R' U'
U2 D2 L D2 F2 R' U2
U2 D2 L F R' U2 B2
U2 D2 L F U2 B2 L
R D2 L' B2 D2 L' R2
R D2 L' B2 D2 R2 L'
R' D2 R B2 L R' D
R' D2 R B2 L R' D'
R' D2 R B2 L R' D2
R' D2 R B2 L D R'
R' D2 R B2 L D' R'
R' D2 R B2 L D2 R'
U2 D2 L F' R' U2 B2
R' D2 R B2 R' L D
R' D2 R B2 R' L D'
R' D2 R B2 R' L D2
R' D2 R B2 R' D L
R' D2 R B2 R' D' L
R' D2 R B2 R' D2 L
U2 D2 L F' U2 B2 L
R' D2 R B2 D L R'
R' D2 R B2 D R' L
R' D2 R B2 D' L R'
R' D2 R B2 D' R' L
R' D2 R B2 D2 L R'
R' D2 R B2 D2 R' L
U2 D2 L F2 R' U2 B2
U2 D2 L F2 U2 B2 L
D U2 L U2 D B2 L
D U2 L D R' U2 B2
D U2 L D U2 B2 L
R D2 L2 U2 L' U2 B2
D U2 L D' R' F2 U2
L' D2 R B2 D2 L2 R
L' D2 R B2 D2 R L2
D U2 L D' F2 R' U2
R D2 L2 F2 R F2 B2
R D2 L2 F2 R B2 F2
R D2 L2 F2 B2 R F2
L D2 L2 B2 D2 L R2
L D2 L2 B2 D2 R2 L
R D2 L2 B2 U2 L' U2
R D2 L2 B2 F2 R F2
R' D2 R' B2 R' D2 L2
F U' F' D2 B2 L R'
F U' F' D2 B2 R' L
L' D2 R2 U2 R U2 B2
R D2 R B L2 B R'
R D2 R B2 L2 R' D
R D2 R B2 L2 R' D'
R D2 R B2 L2 R' D2
R D2 R B2 L2 D R'
R D2 R B2 L2 D' R'
R D2 R B2 L2 D2 R'
R D2 R B2 R' L2 D
R D2 R B2 R' L2 D'
R D2 R B2 R' L2 D2
R' D2 R2 B2 D2 L2 R'
R' D2 R2 B2 D2 R' L2
L' D2 R2 F2 L' F2 B2
L' D2 R2 F2 L' B2 F2
L' D2 R2 F2 B2 L' F2
R2 D2 R' B2 D2 L2 R'
R2 D2 R' B2 D2 R' L2
L D2 R' U2 B2 D2 F2
L' D2 R2 B2 U2 R U2
L' D2 R2 B2 F2 L' F2
L D2 R' D2 F2 U2 F2
L D2 R' F U2 F' B2
L D2 R' F U2 B2 F'
D' U2 R' L U L U
L D2 R' F' U2 F B2
L D2 R' F' U2 B2 F
L D2 R' F2 U2 F2 B2
L D2 R' F2 U2 B2 F2
D2 U2 R' L U2 B2 D
D2 U2 R' L U2 B2 D'
D2 U2 R' L U2 B2 D2
D2 U2 R' L D2 F2 U2
D2 U2 R' L F U2 B2
D2 U2 R' L F' U2 B2
D2 U2 R' L F2 U2 B2
R D2 R' B L2 B R'
D' U2 R' U2 D' B2 R'
D' U2 R' D L F2 U2
D' U2 R' D F2 L U2
D' U2 R' D' L U2 B2
R D2 R' B2 L2 R' D
R D2 R' B2 L2 R' D'
R D2 R' B2 L2 R' D2
R D2 R' B2 L2 D R'
R D2 R' B2 L2 D' R'
R D2 R' B2 L2 D2 R'
R D2 R' B2 R' L2 D
R D2 R' B2 R' L2 D'
R D2 R' B2 R' L2 D2
D' U2 R' D' U2 B2 R'
D2 U2 R' U2 R B2 R'
D2 U2 R' U2 R' B2 R'
D2 U2 R' U2 R2 B2 R'
R2 D2 R2 B2 L R' D
R2 D2 R2 B2 L R' D'
R2 D2 R2 B2 L R' D2
R2 D2 R2 B2 L D R'
R2 D2 R2 B2 L D' R'
R2 D2 R2 B2 L D2 R'
D2 U2 R' U2 B2 R' D
D2 U2 R' U2 B2 R' D'
D2 U2 R' U2 B2 R' D2
D2 U2 R' U2 B2 D R'
D2 U2 R' U2 B2 D' R'
D2 U2 R' U2 B2 D2 R'
R2 D2 R2 B2 R' L D
R2 D2 R2 B2 R' L D'
R2 D2 R2 B2 R' L D2
R2 D2 R2 B2 R' D L
R2 D2 R2 B2 R' D' L
R2 D2 R2 B2 R' D2 L
R2 D2 R2 B2 D L R'
R2 D2 R2 B2 D R' L
R2 D2 R2 B2 D' L R'
R2 D2 R2 B2 D' R' L
R2 D2 R2 B2 D2 L R'
R2 D2 R2 B2 D2 R' L
D2 U2 R' D2 L F2 U2
D2 U2 R' D2 F2 L U2
D2 U2 R' F L U2 B2
D2 U2 R' F U2 B2 R'
U2 D2 R' L U2 B2 D
U2 D2 R' L U2 B2 D'
U2 D2 R' L U2 B2 D2
D2 U2 R' F' L U2 B2
U2 D2 R' L D2 F2 U2
U2 D2 R' L F U2 B2
U2 D2 R' L F' U2 B2
U2 D2 R' L F2 U2 B2
D2 U2 R' F' U2 B2 R'
D2 U2 R' F2 L U2 B2
D2 U2 R' F2 U2 B2 R'
F2 U' B2 U' L R' F2
F2 U' B2 U' L F2 R'
U2 D2 R' U2 R B2 R'
F2 U' B2 U' R' L F2
U2 D2 R' U2 R' B2 R'
F2 U' B2 U' R' F2 L
U2 D2 R' U2 R2 B2 R'
F2 U' B2 U' F2 L R'
F2 U' B2 U' F2 R' L
U2 D2 R' U2 B2 R' D
U2 D2 R' U2 B2 R' D'
U2 D2 R' U2 B2 R' D2
U2 D2 R' U2 B2 D R'
U2 D2 R' U2 B2 D' R'
U2 D2 R' U2 B2 D2 R'
R' D2 U2 L U2 L' B2
R' D2 U2 L U2 B2 L'
R D2 R2 B L2 B R'
U2 D2 R' D2 L F2 U2
D U2 R' L U' R' U'
U2 D2 R' D2 F2 L U2
U2 D2 R' F L U2 B2
U2 D2 R' F U2 B2 R'
R D2 R2 B2 L2 R' D
R D2 R2 B2 L2 R' D'
R D2 R2 B2 L2 R' D2
R D2 R2 B2 L2 D R'
R D2 R2 B2 L2 D' R'
R D2 R2 B2 L2 D2 R'
R D2 R2 B2 R' L2 D
R D2 R2 B2 R' L2 D'
R D2 R2 B2 R' L2 D2
U2 D2 R' F' L U2 B2
U2 D2 R' F' U2 B2 R'
U2 D2 R' F2 L U2 B2
U2 D2 R' F2 U2 B2 R'
L' D2 U2 R' U2 R' B2
R' D2 U2 B2 R' D2 F2
R' D2 U2 B2 D2 R' F2
R' D2 U2 B2 D2 F2 R'
R' D2 F L U2 F' B2
R' D2 F L U2 B2 F'
L2 D2 U2 L' R' U2 B2
L2 D2 U2 L' U2 B2 L
D2 U2 F L R' U2 B2
D2 U2 F L U2 B2 L
R2 D2 U2 L R U2 B2
L2 D2 U2 R' L' U2 B2
D2 U2 F R' L U2 B2
U' D2 F U B2 L R'
U' D2 F U B2 R' L
D2 U2 F R' U2 B2 R'
R2 D2 U2 R L U2 B2
R2 D2 U2 R U2 B2 R'
R' D2 F U2 F' B2 R'
R' D2 F U2 B2 F' R'
D2 U2 F U2 B2 L R'
D2 U2 F U2 B2 R' L
U2 D2 F L R' U2 B2
U2 D2 F L U2 B2 L
U2 D2 F R' L U2 B2
U2 D2 F R' U2 B2 R'
D2 U2 F' L R' U2 B2
R D2 U2 L U2 L B2
D2 U2 F' L U2 B2 L
B2 U2 L' F2 U2 L2 R'
B2 U2 L' F2 U2 R' L2
L' D2 F B2 L F' R2
L D2 U2 R' U2 R B2
L D2 U2 R' U2 B2 R
U2 D2 F U2 B2 L R'
U2 D2 F U2 B2 R' L
D2 U2 F' R' L U2 B2
U' D2 F' U B2 L R'
U' D2 F' U B2 R' L
D2 U2 F' R' U2 B2 R'
R' D2 F' U2 F B2 R'
R' D2 F' U2 B2 R' F
R' D2 F' U2 B2 F R'
D2 U2 F' U2 B2 L R'
D2 U2 F' U2 B2 R' L
F2 U2 L2 R2 F2 L' R
F2 U2 L2 R2 F2 R L'
U2 D2 F' L R' U2 B2
L D2 U2 B2 L D2 F2
U2 D2 F' L U2 B2 L
L D2 U2 B2 D2 L F2
L D2 U2 B2 D2 F2 L
R' D2 F2 L U2 F2 B2
R' D2 F2 L U2 B2 F2
U2 D2 F' R' L U2 B2
U2 D2 F' R' U2 B2 R'
D2 U2 F2 L R' U2 B2
D2 U2 F2 L U2 B2 L
B2 U2 L2 F2 R U2 R2
L' D2 F' B2 R2 F L
U D2 F U' B2 L R'
U D2 F U' B2 R' L
F2 U2 L2 F2 R D2 L2
U2 D2 F' U2 B2 L R'
U2 D2 F' U2 B2 R' L
D2 U2 F2 R' L U2 B2
U' D2 F2 U B2 L R'
U' D2 F2 U B2 R' L
D2 U2 F2 R' U2 B2 R'
L D2 F U2 F' B2 L
L D2 F U2 B2 L F'
L D2 F U2 B2 F' L
R' D2 F2 U2 F2 B2 R'
R' D2 F2 U2 B2 R' F2
R' D2 F2 U2 B2 F2 R'
L' D2 F2 R2 F2 L' B2
L' D2 F2 R2 F2 B2 L'
L' D2 F2 R2 B2 F2 L'
D2 U2 F2 U2 B2 L R'
D2 U2 F2 U2 B2 R' L
U2 D2 F2 L R' U2 B2
U2 D2 F2 L U2 B2 L
R D2 F B2 L2 F' R'
R' D2 F2 B2 R' F2 L'
U2 D2 F2 R' L U2 B2
U2 D2 F2 R' U2 B2 R'
L D2 F' R' U2 F B2
L D2 F' R' U2 B2 F
L' D2 F2 B2 L R2 F2
L' D2 F2 B2 L F2 R2
B2 U2 R F2 U2 L R2
B2 U2 R F2 U2 R2 L
L' D2 F2 B2 R2 L F2
L' D2 F2 B2 R2 F2 L
U D2 F' U' B2 L R'
U D2 F' U' B2 R' L
L' D2 B L B L R2
L' D2 B L B R2 L
L' D2 B L' B L R2
U2 D2 F2 U2 B2 L R'
L' D2 B L' B R2 L
U2 D2 F2 U2 B2 R' L
L' D2 B L2 B L R2
L' D2 B L2 B R2 L
L D2 F' U2 F B2 L
L D2 F' U2 B2 F L
L2 D2 F2 B2 L R F2
L2 D2 F2 B2 R L F2
L2 D2 F2 B2 R F2 L
R D2 F' B2 R' F L2
R2 D2 F2 B2 L' R' F2
R2 D2 F2 B2 L' F2 R'
R2 D2 F2 B2 R' L' F2
L D2 F2 R' U2 F2 B2
L D2 F2 R' U2 B2 F2
R D2 F2 L2 F2 R B2
R D2 F2 L2 F2 B2 R
R D2 F2 L2 B2 F2 R
U D2 F2 U' B2 L R'
U D2 F2 U' B2 R' L
L D2 F2 U2 F2 B2 L
L D2 F2 U2 B2 L F2
L D2 F2 U2 B2 F2 L
L' D2 B' R B' L R
L' D2 B' R B' R L
L' D2 B' R2 B' L D
L' D2 B' R2 B' L D'
L' D2 B' R2 B' L D2
L' D2 B' R2 B' D L
L' D2 B' R2 B' D' L
L' D2 B' R2 B' D2 L
F2 U2 R2 L2 F2 L' R
F2 U2 R2 L2 F2 R L'
L D2 F2 B2 L F2 R
R D2 F2 B2 L2 R' F2
R D2 F2 B2 L2 F2 R'
R D2 F2 B2 R' L2 F2
R D2 F2 B2 R' F2 L2
D2 U2 B2 L R' D2 F2
R D2 B L' B L' R'
R D2 B L' B R' L'
D2 U2 B2 L D2 R' F2
D2 U2 B2 L D2 F2 R'
B2 U2 R2 F2 L' U2 L2
R D2 B L2 B R' D
R D2 B L2 B R' D'
R D2 B L2 B R' D2
R D2 B L2 B D R'
R D2 B L2 B D' R'
R D2 B L2 B D2 R'
L' D2 B2 L R D R
L' D2 B2 L R D' R
L' D2 B2 L R D2 R
L' D2 B2 L R' D R'
L' D2 B2 L R' D' R'
L' D2 B2 L R' D2 R'
R' D2 B2 R' U2 R U2
L' D2 B2 L F' R2 F
L' D2 B2 L F2 R2 F2
L' D2 B2 L B R2 B'
R' D2 B2 R' F2 L' F2
L' D2 B2 L B2 R2 B2
F2 U2 R2 F2 L' D2 R2
R' D2 B2 R2 D2 L2 R
R' D2 B2 R2 D2 R L2
D2 U2 B2 R' L D2 F2
L' D2 B2 L2 R2 D L'
L' D2 B2 L2 R2 D' L'
L' D2 B2 L2 R2 D2 L'
D2 U2 B2 R' D2 L F2
D2 U2 B2 R' D2 F2 L
L' D2 B2 R L D R
L' D2 B2 R L D' R
L' D2 B2 R L D2 R
L' D2 B2 R D L R
L' D2 B2 R D R L
L' D2 B2 R D' L R
L' D2 B2 R D' R L
L' D2 B2 R D2 L R
L' D2 B2 R D2 R L
L' D2 B2 R' L D R'
L' D2 B2 R' L D' R'
L' D2 B2 R' L D2 R'
L' D2 B2 R' D L R'
L' D2 B2 R' D R' L
L' D2 B2 R' D' L R'
L' D2 B2 R' D' R' L
L' D2 B2 R' D2 L R'
L' D2 B2 R' D2 R' L
L' D2 B2 R2 L2 D L'
L' D2 B2 R2 L2 D' L'
L' D2 B2 R2 L2 D2 L'
L' D2 B2 R2 D L D
L' D2 B2 R2 D L D'
L' D2 B2 R2 D L D2
L' D2 B2 R2 D' L D
L' D2 B2 R2 D' L D'
L' D2 B2 R2 D' L D2
L' D2 B2 R2 D2 L D
L' D2 B2 R2 D2 L D'
L' D2 B2 R2 D2 L D2
L' D2 B2 R2 F L F'
L' D2 B2 R2 F2 L F2
U2 D2 B2 L R' D2 F2
L2 D2 B2 L R D2 R2
U2 D2 B2 L D2 R' F2
U2 D2 B2 L D2 F2 R'
L2 D2 B2 L R' D2 R2
L2 D2 B2 L R2 D2 R2
L2 D2 B2 L U2 L2 U2
L2 D2 B2 L D2 R2 D
L2 D2 B2 L D2 R2 D'
L2 D2 B2 L D2 R2 D2
D2 U2 B2 D2 L R' F2
D2 U2 B2 D2 L F2 R'
L' D2 B2 D L D' R2
D2 U2 B2 D2 R' L F2
D2 U2 B2 D2 R' F2 L
D2 U2 B2 D2 F2 L R'
D2 U2 B2 D2 F2 R' L
L' D2 B2 D' L D R2
R' D2 B2 F2 R' F2 L'
L2 D2 B2 R L D2 R2
U2 D2 B2 R' L D2 F2
L2 D2 B2 R' L D2 R2
U2 D2 B2 R' D2 L F2
U2 D2 B2 R' D2 F2 L
L' D2 B2 F L F' R2
R2 D2 B2 L R' D2 L2
L2 D2 B2 R2 L D2 R2
L' D2 B2 F' R2 F L
R2 D2 B2 L' R' D2 L2
L' D2 B2 F2 L R2 F2
L' D2 B2 F2 L F2 R2
L' D2 B2 F2 R2 L F2
L' D2 B2 F2 R2 F2 L
R2 D2 B2 L2 R' D2 L2
R D2 B' R B' L2 R'
R D2 B' R B' R' L2
R D2 B' R' B' L2 R'
R D2 B' R' B' R' L2
L2 D2 B2 U2 L' U2 L2
R2 D2 B2 R' L D2 L2
R2 D2 B2 R' L' D2 L2
R2 D2 B2 R' L2 D2 L2
R2 D2 B2 R' U2 R2 U2
R2 D2 B2 R' D2 L2 D
R2 D2 B2 R' D2 L2 D'
R2 D2 B2 R' D2 L2 D2
R D2 B' R2 B' L2 R'
R D2 B' R2 B' R' L2
L2 D2 B2 D L D2 R2
D2 F L U2 F' B2 L
D2 F L U2 B2 L F'
L2 D2 B2 D' L D2 R2
D2 F L U2 B2 F' L
U2 D2 B2 D2 L R' F2
U2 D2 B2 D2 L F2 R'
U2 D2 B2 D2 R' L F2
U2 D2 B2 D2 R' F2 L
L2 D2 B2 D2 L D2 R2
U2 D2 B2 D2 F2 L R'
U2 D2 B2 D2 F2 R' L
R2 D2 B2 U2 R U2 R2
L2 D2 B2 F2 L R F2
R2 D2 B2 D R' D2 L2
L2 D2 B2 F2 R L F2
L2 D2 B2 F2 R F2 L
R2 D2 B2 D' R' D2 L2
R2 D2 B2 D2 R' D2 L2
L D2 B2 L U2 L' U2
L D2 B2 L F2 R F2
R D2 B2 L R' D L
R D2 B2 L R' D' L
R D2 B2 L R' D2 L
R D2 B2 L D L R'
R D2 B2 L D R' L
R D2 B2 L D' L R'
R D2 B2 L D' R' L
R D2 B2 L D2 L R'
R D2 B2 L D2 R' L
R2 D2 B2 F2 L' R' F2
R2 D2 B2 F2 L' F2 R'
L D2 B2 L2 D2 L' R2
L D2 B2 L2 D2 R2 L'
R2 D2 B2 F2 R' L' F2
R D2 B2 L' R' D L'
R D2 B2 L' R' D' L'
R D2 B2 L' R' D2 L'
R D2 B2 L' D L' R'
R D2 B2 L' D R' L'
R D2 B2 L' D' L' R'
R D2 B2 L' D' R' L'
R D2 B2 L' D2 L' R'
R D2 B2 L' D2 R' L'
U2 F L U2 B2 L B'
R D2 B2 L2 R2 D R
R D2 B2 L2 R2 D' R
R D2 B2 L2 R2 D2 R
R D2 B2 L2 D R' D
R D2 B2 L2 D R' D'
R D2 B2 L2 D R' D2
R D2 B2 L2 D' R' D
R D2 B2 L2 D' R' D'
R D2 B2 L2 D' R' D2
R D2 B2 L2 D2 R' D
R D2 B2 L2 D2 R' D'
R D2 B2 L2 D2 R' D2
R D2 B2 L2 F' R' F
R D2 B2 L2 F2 R' F2
R D2 B2 R' L D L
R D2 B2 R' L D' L
R D2 B2 R' L D2 L
R D2 B2 R' L' D L'
R D2 B2 R' L' D' L'
R D2 B2 R' L' D2 L'
U2 F L D2 R' U2 B
R D2 B2 R' F L2 F'
R D2 B2 R' F2 L2 F2
R D2 B2 R' B' L2 B
R D2 B2 R' B2 L2 B2
R D2 B2 R2 L2 D R
R D2 B2 R2 L2 D' R
R D2 B2 R2 L2 D2 R
R D2 B2 D R' D' L2
R D2 B2 D' R' D L2
L D2 B2 F2 L F2 R
R D2 B2 F L2 F' R'
R D2 B2 F' R' F L2
R D2 B2 F2 L2 R' F2
R D2 B2 F2 L2 F2 R'
R D2 B2 F2 R' L2 F2
R D2 B2 F2 R' F2 L2
F' U2 F D2 B2 L R'
F' U2 F D2 B2 R' L
F' U2 F' L R' U2 F2
F' U2 F' R' L U2 F2
F U2 F L R' U2 F2
F U2 F R' L U2 F2
B2 U2 F2 L' U2 L2 R'
B2 U2 F2 L' U2 R' L2
B2 U2 F2 L2 U2 L' R'
B2 U2 F2 L2 U2 R' L'
B2 U2 F2 R U2 L R2
B2 U2 F2 R U2 R2 L
B2 U2 F2 R2 U2 L R
B2 U2 F2 R2 U2 R L
U2 F R F L R2 U2
U2 F R F R2 L U2
B2 U2 F2 U2 L R' D
B2 U2 F2 U2 L R' D'
B2 U2 F2 U2 L R' D2
B2 U2 F2 U2 L D R'
B2 U2 F2 U2 L D' R'
B2 U2 F2 U2 L D2 R'
B2 U2 F2 U2 R' L D
B2 U2 F2 U2 R' L D'
B2 U2 F2 U2 R' L D2
B2 U2 F2 U2 R' D L
B2 U2 F2 U2 R' D' L
B2 U2 F2 U2 R' D2 L
B2 U2 F2 U2 D L R'
B2 U2 F2 U2 D R' L
B2 U2 F2 U2 D' L R'
B2 U2 F2 U2 D' R' L
B2 U2 F2 U2 D2 L R'
B2 U2 F2 U2 D2 R' L
B2 U2 F2 D U2 L R'
B2 U2 F2 D U2 R' L
F2 U2 F2 U2 L R' U2
F2 U2 F2 U2 R' L U2
B2 U2 F2 D' U2 L R'
B2 U2 F2 D' U2 R' L
B2 U2 F2 D2 U2 L R'
B2 U2 F2 D2 U2 R' L
F2 U2 F2 B2 L R' B2
F2 U2 F2 B2 R' L B2
F U2 F' D2 B2 L R'
F U2 F' D2 B2 R' L
U2 F R' D F L U2
U2 F R' D' F L U2
U2 F R' D2 F L U2
U2 F R' F L U2 D
U2 F R' F L U2 D'
U2 F R' F L U2 D2
U2 F R' F L D U2
U2 F R' F L D' U2
U2 F R' F L D2 U2
U2 F R' F D L U2
U2 F R' F D' L U2
L2 F R' F U2 R F'
U2 F R' F D2 L U2
U2 F R' F' L F2 U2
U2 F R' F2 L F' U2
D2 F U F' B2 L R'
D2 F U F' B2 R' L
D2 F U B2 L F' R'
F2 U2 B2 L R' F2 B2
F2 U2 B2 L R' B2 F2
D2 F U B2 F' L R'
D2 F U B2 F' R' L
F2 U2 B2 L F2 R' B2
U' F U' R' F L U2
F2 U2 B2 R' L F2 B2
F2 U2 B2 R' L B2 F2
F2 U2 B2 R' F2 L B2
U' F U' F L R' U2
U' F U' F R' L U2
R F R2 F L B U2
L F R2 B R F U2
D2 F U' F' B2 L R'
D2 F U' F' B2 R' L
B2 D L R' U R' U'
F2 U2 B2 F2 L R' B2
D2 F U' B2 L F' R'
F2 U2 B2 F2 R' L B2
D2 F U' B2 F' L R'
D2 F U' B2 F' R' L
B2 D L U R2 U' R
F2 D L R' U R' U
U F U R' F L U2
B2 D L D R B2 R2
B2 D L D R' B2 D
B2 D L D R' B2 D'
B2 D L D R' B2 D2
B2 D L D R2 B2 R
B2 D L D' R' D2 B2
U F U F L R' U2
U F U F R' L U2
B2 D L D2 R' D' B2
F2 D L D R' B2 U2
F2 D L D B2 U2 L
F2 D L D' R' U2 F2
R' F U2 F' D2 B2 R'
D2 F U2 F' B2 L R'
D2 F U2 F' B2 R' L
B2 D L B2 D B2 R'
D2 F U2 B2 L F' R'
D2 F U2 B2 F' L R'
D2 F U2 B2 F' R' L
R' F D F L U2 F2
U2 F D R' F L U2
B2 D L2 D L' R' B2
B2 D L2 D R' L' B2
B2 D L2 D R' B2 L'
U2 F D F L R' U2
U2 F D F R' L U2
R' F D' F L U2 F2
L F U2 F' D2 B2 L
D' F D' F' B2 L R'
D' F D' F' B2 R' L
D' F D' B2 L F' R'
D' F D' B2 F' L R'
D' F D' B2 F' R' L
U2 F D' R' F L U2
D F D F' B2 L R'
D F D F' B2 R' L
D F D B2 L F' R'
U2 F D' F L R' U2
D F D B2 F' L R'
D F D B2 F' R' L
U2 F D' F R' L U2
L F D F R' U2 F2
R' F D2 F L U2 F2
B2 D R' L U R' U'
F2 D R' L U R' U
U2 F D2 R' F L U2
B2 D R' U R' U' L
U2 F D2 F L R' U2
U2 F D2 F R' L U2
L F D' F R' U2 F2
L F D2 F R' U2 F2
D2 F B2 L D F' R'
D2 F B2 L D' F' R'
D2 F B2 L D2 F' R'
D2 F B2 L F R' F2
D2 F B2 L F' R' D
D2 F B2 L F' R' D'
D2 F B2 L F' R' D2
D2 F B2 L F' D R'
D2 F B2 L F' D' R'
D2 F B2 L F' D2 R'
D2 F B2 L F2 R' F
D2 F B2 L' F' L2 R'
D2 F B2 L' F' R' L2
B2 D U R2 U' L R
B2 D U R2 U' R L
D2 F B2 D L F' R'
D2 F B2 D F' L R'
D2 F B2 D F' R' L
D2 F B2 D' L F' R'
D2 F B2 D' F' L R'
D2 F B2 D' F' R' L
D2 F B2 D2 L F' R'
D2 F B2 D2 F' L R'
D2 F B2 D2 F' R' L
U2 F' L D F' R' U2
U2 F' L D' F' R' U2
U2 F' L D2 F' R' U2
U2 F' L F R' F2 U2
U2 F' L F' R' U2 D
U2 F' L F' R' U2 D'
U2 F' L F' R' U2 D2
U2 F' L F' R' D U2
U2 F' L F' R' D' U2
U2 F' L F' R' D2 U2
U2 F' L F' D R' U2
U2 F' L F' D' R' U2
U2 F' L F' D2 R' U2
U2 F' L F2 R' F U2
R2 F' L F' U2 L' F
U2 F' L' F' L2 R' U2
U2 F' L' F' R' L2 U2
F' D F D2 B2 L R'
F' D F D2 B2 R' L
F' D F' L R' U2 F2
R' F' L2 B' L' F' U2
L' F' L2 F' R' B' U2
F' D F' R' L U2 F2
F D F L R' U2 F2
F D F R' L U2 F2
D2 F' R' U2 F B2 R'
D2 F' R' U2 B2 R' F
D2 F' R' U2 B2 F R'
F D F' D2 B2 L R'
F D F' D2 B2 R' L
U2 F' R' U2 B2 R' B
U2 F' R' D2 L U2 B'
D2 F' U F B2 L R'
D2 F' U F B2 R' L
U' F' U' L F' R' U2
D2 F' U B2 R' F L
D2 F' U B2 F L R'
D2 F' U B2 F R' L
U' F' U' F' L R' U2
U' F' U' F' R' L U2
B2 D B2 D B2 L R'
B2 D B2 D B2 R' L
D2 F' U' F B2 L R'
D2 F' U' F B2 R' L
U F' U L F' R' U2
D2 F' U' B2 R' F L
D2 F' U' B2 F L R'
D2 F' U' B2 F R' L
B2 D' L R' U' L U
F2 D' L R' U' L U'
B2 D' L U' L U R'
R' F' U2 F D2 B2 R'
U F' U F' L R' U2
U F' U F' R' L U2
D2 F' U2 F B2 L R'
D2 F' U2 F B2 R' L
D2 F' U2 B2 R' F L
D2 F' U2 B2 F L R'
D2 F' U2 B2 F R' L
R' F' D F' L U2 F2
U2 F' D L F' R' U2
U2 F' D F' L R' U2
U2 F' D F' R' L U2
R' F' D' F' L U2 F2
L F' U2 F D2 B2 L
D' F' D' F B2 L R'
D' F' D' F B2 R' L
U2 F' D' L F' R' U2
D' F' D' B2 R' F L
D' F' D' B2 F L R'
D' F' D' B2 F R' L
D F' D F B2 L R'
D F' D F B2 R' L
D F' D B2 R' F L
D F' D B2 F L R'
D F' D B2 F R' L
U2 F' D' F' L R' U2
U2 F' D' F' R' L U2
R' F' D2 F' L U2 F2
L F' D F' R' U2 F2
U2 F' D2 L F' R' U2
B2 D' R' L U' L U
F2 D' R' L U' L U'
B2 D' R' U' L2 U L'
B2 D' R' D L D2 B2
B2 D' R' D' L B2 D
B2 D' R' D' L B2 D'
B2 D' R' D' L B2 D2
B2 D' R' D' L' B2 L2
B2 D' R' D' L2 B2 L'
U2 F' D2 F' L R' U2
U2 F' D2 F' R' L U2
F2 D' R' D L U2 F2
B2 D' R' D2 L D B2
F2 D' R' D' L B2 U2
F2 D' R' D' B2 U2 R'
L F' D' F' R' U2 F2
B2 D' R' B2 D' B2 L
B2 D' R2 D' L R B2
B2 D' R2 D' L B2 R
B2 D' R2 D' R L B2
L F' D2 F' R' U2 F2
D2 F' B2 R F L R2
D2 F' B2 R F R2 L
D2 F' B2 R' D F L
D2 F' B2 R' D' F L
D2 F' B2 R' D2 F L
D2 F' B2 R' F L D
D2 F' B2 R' F L D'
D2 F' B2 R' F L D2
D2 F' B2 R' F D L
D2 F' B2 R' F D' L
D2 F' B2 R' F D2 L
D2 F' B2 R' F' L F2
D2 F' B2 R' F2 L F'
D2 F' B2 D R' F L
U' F2 L R' U R U
D2 F' B2 D F L R'
D2 F' B2 D F R' L
D2 F' B2 D' R' F L
D2 F' B2 D' F L R'
D2 F' B2 D' F R' L
D2 F' B2 D2 R' F L
D2 F' B2 D2 F L R'
D2 F' B2 D2 F R' L
R' F2 L R' U2 F2 L'
D2 F2 L R' U2 F2 B2
D2 F2 L R' U2 B2 F2
R' F2 L U R U F2
R' F2 L U R' U F2
R' F2 L U R2 U F2
R' F2 L U D R2 U
R' F2 L U' L U' F2
R' F2 L U' L' U' F2
R' F2 L U' L2 U' F2
R' F2 L U' D' L2 U'
